ID,Title,Heading,Subheading,Description,Partner,Priority Tier,Available Inventory,Insider Inventory,Paid Inventory,Insider Only,Cover Image URL
1151cc3b-876b-49e4-9b7f-265bcc5147c0,Lovable,1 free year of Lovable Pro,$252 value,"AI-powered app builder. Turn your ideas into apps in seconds, from prototypes to production-ready apps.",Lovable,1,4839,1997,2842,False,https://lenny.nyc3.digitaloceanspaces.com/offers/1151cc3b-876b-49e4-9b7f-265bcc5147c0/cover_20250724_090841_92305fde.jpg
eacbf9de-5474-40f6-82fe-0824a465b7e7,Replit,1 free year of Replit Core,$240 value,"From prototype to production-ready app, code securely using natural language with database, auth, and deployment built in.",Replit,2,6391,1998,4393,False,https://lenny.nyc3.digitaloceanspaces.com/offers/eacbf9de-5474-40f6-82fe-0824a465b7e7/cover_20250724_090738_618343ff.jpg
4a93e4d2-29c4-4d44-adfd-291f4e41b94f,Bolt,1 year free of Bolt Pro,$240 value,"Build stunning apps & websites, just by prompting.",Bolt,3,6457,2000,4457,False,https://lenny.nyc3.digitaloceanspaces.com/offers/4a93e4d2-29c4-4d44-adfd-291f4e41b94f/cover_20250724_090815_fede14ab.jpg
1dd6c81a-729c-4c80-b7b8-9abc3427109e,n8n,1 year free of n8n Cloud Starter,$240 value,"Workflow engine for AI automation. Visually orchestrate AI, humans, code, and APIs.",n8n,4,6832,2000,4832,False,https://lenny.nyc3.digitaloceanspaces.com/offers/1dd6c81a-729c-4c80-b7b8-9abc3427109e/cover_20250724_091134_30772698.jpg
0b3b2ec6-96ca-4e7e-90b3-6372739288ef,Descript,1 year free of Descript Creator,$420 value,Create polished videos in minutes. AI-powered editing that gives you professional results without the learning curve.,Descript,5,4861,2000,2861,False,https://lenny.nyc3.digitaloceanspaces.com/offers/0b3b2ec6-96ca-4e7e-90b3-6372739288ef/cover_20250724_091120_d291d56c.jpg
5ff93b55-3f31-4b57-9774-6bb26ee063f1,Warp,1 year free of Warp Pro,$200+ value,The first Agentic Development Environment featuring the top overall coding agent.,Warp,6,6903,2000,4903,False,https://lenny.nyc3.digitaloceanspaces.com/offers/5ff93b55-3f31-4b57-9774-6bb26ee063f1/cover_20250724_030333_a090e97f.jpg
83f3ecba-7b1b-4945-8dfc-691cbcc9c616,Gamma,1 year free of Gamma Pro,$180 value,"Create AI-powered presentations, websites, and more in minutes.",Gamma,7,9860,4998,4862,False,https://lenny.nyc3.digitaloceanspaces.com/offers/83f3ecba-7b1b-4945-8dfc-691cbcc9c616/cover_20250727_073552_03477b66.png
d8ba6868-3779-4a9f-9bc1-4ec4ca59b821,Wispr Flow,1 year free of Wispr Flow Pro,$180 value,"Effortless voice dictation with zero edits on Mac, Windows, and iOS. Unblock your team and share context as fast as you think.",Wispr Flow,8,6860,2000,4860,False,https://lenny.nyc3.digitaloceanspaces.com/offers/d8ba6868-3779-4a9f-9bc1-4ec4ca59b821/cover_20250724_090859_7c1c42b8.jpg
35029282-12ed-48fe-a742-beca2dbdd012,Magic Patterns,1 year free of Magic Patterns Hobby,$228 value,"AI prototyping tool that helps product teams build interactive designs, get user feedback, and use their existing styles.",Magic Patterns,9,4870,1999,2871,False,https://lenny.nyc3.digitaloceanspaces.com/offers/35029282-12ed-48fe-a742-beca2dbdd012/cover_20250724_091049_802e2cf4.jpg
8095fa71-6389-4f2a-883a-a7ef6af78b9b,Granola,1 free year of Granola Business,"$5,000+ value",The AI notepad for people in back-to-back meetings.,Granola,10,6467,2000,4467,False,https://lenny.nyc3.digitaloceanspaces.com/offers/8095fa71-6389-4f2a-883a-a7ef6af78b9b/cover_20250724_090948_907ecb1e.jpg
b66ad64a-00f0-4888-bb72-67142a2028c7,Linear,1 year free of Linear Business,$840 value,"A purpose-built tool for planning and building products â€” streamline issues, projects, and product roadmaps.",Linear,11,999999,0,999999,False,https://lenny.nyc3.digitaloceanspaces.com/offers/b66ad64a-00f0-4888-bb72-67142a2028c7/cover_20250724_091100_0fbc1307.jpg
1076969e-bfc5-4c70-9130-91cee0217623,Superhuman,1 year free of Superhuman Starter,$300 value,AI-native email app designed to help you get through your inbox twice as fast.,Superhuman,12,4976,2000,2976,False,https://lenny.nyc3.digitaloceanspaces.com/offers/1076969e-bfc5-4c70-9130-91cee0217623/cover_20250724_091012_c33905a0.jpg
19c67c7a-42dd-47be-b5a9-6d62448f6787,Raycast,1 free year of Raycast Pro,$96 value,"Launch apps, ask AI, search anything, and hundreds more things - all from one place.",Raycast,13,3905,2000,1905,False,https://lenny.nyc3.digitaloceanspaces.com/offers/19c67c7a-42dd-47be-b5a9-6d62448f6787/cover_20250724_091035_91baa792.jpg
be4443a3-4fcc-4867-bae5-3a8026373194,Perplexity,1 free year of Perplexity Pro,$240 value,"AI-powered search and research assistant that provides accurate, cited answers to your questions.",Perplexity,14,4972,2000,2972,False,https://lenny.nyc3.digitaloceanspaces.com/offers/be4443a3-4fcc-4867-bae5-3a8026373194/cover_20250724_090934_80f34476.jpg
c1ae05cf-8907-4e27-821d-96538afbbe69,ChatPRD,1 year free of ChatPRD Pro,$180 value,AI to draft product docs & automate PM work.,ChatPRD,15,6859,1998,4861,False,https://lenny.nyc3.digitaloceanspaces.com/offers/c1ae05cf-8907-4e27-821d-96538afbbe69/cover_20250724_090749_320a9769.jpg
8a1ccf0b-a288-4c60-8d6b-6b5370e7dafd,Mobbin,1 year free of Mobbin Pro,$120 value,The world's most comprehensive UI/UX design reference library of mobile & web apps.,Mobbin,16,4880,2000,2880,False,https://lenny.nyc3.digitaloceanspaces.com/offers/8a1ccf0b-a288-4c60-8d6b-6b5370e7dafd/cover_20250724_090919_f13aea48.jpg
